(4.013261836079547, 1.0974161691535544E-5)
(1.9253246367296556E-14, 3.9999996075385935)
(0.47051148666368364, 1.7267578927599763)
(0.14750542691809343, 2.6112480756907295)
(0.665572331580604, 1.4022676715744795)
(0.976825029717801, 1.0234466757002874)
(2.383299322150123, 0.20812409836655665)
(1.1677387169441986, 0.8452603227000235)
(3.3854240486393268, 0.0256153026878581)
(3.5809108840670825, 0.01159293986833408)
(2.8449766565913106, 0.10339657256891603)
(2.9091737021353596, 0.08665370161746726)
(1.5996319444467644, 0.5405696687086129)
(0.004420279760857893, 3.7384795416751477)
(0.022313903469540864, 3.4397253952325113)
(2.0519564751514046, 0.3220957785796297)
(0.04363952743700256, 3.2080364891223403)
(1.8861245002399771, 0.3926745842516796)
(0.4959563640331913, 1.6915709860301094)
(0.08850747173613477, 2.8984992821943085)
