(4.013261836045166, 1.0974127310914298E-5)
(1.9253246367296556E-14, 3.9999996075385935)
(1.5780396891476567, 0.553237700470749)
(2.184529389114437, 0.2724679702732189)
(2.5456960332843432, 0.16360103795987296)
(0.01910216691470751, 3.4662598135929623)
(3.206050158079216, 0.04387154232967138)
(0.08569641142092331, 2.914738434953292)
(0.33599438194391146, 2.01739348940037)
(0.11304688334591344, 2.768149071414027)
(1.0366196485449604, 0.9640388484116494)
(1.2627745534505426, 0.7678448704400812)
(9.986258592066985E-10, 3.999910619754097)
(0.4972926221464602, 1.676533512647041)
(0.7491070572461281, 1.287068220541214)
(0.21330874775799588, 2.3658943482432897)
(0.40692873098605414, 1.8552901018220422)
(0.5925427669734654, 1.5134707889452736)
(3.385424048568418, 0.025615302616949286)
(0.21330874775799588, 2.3658943482432897)
