[1.6800187290246557E-13, 2.000039231931378]
[3.608224830031759E-16, 2.000039231931378]
[3.608224830031759E-16, 3.608224830031759E-16]
[-8.345970272672802E-14, 1.9151054050183498]
[3.608224830031759E-16, 1.6879294134427312]
[0.0013295722734542118, 1.288549969123733]
[0.001191037377103227, 0.5796351962010727]
[-8.345970272672802E-14, 0.9428763397227372]
[0.0011910373769565411, 0.7156563333302486]
[2.770697928699713E-4, 1.6083079856920874]
[3.608224830031759E-16, 0.4481324154768479]
[0.0010525024804588705, 0.14276269753676418]
[0.0010525024805846013, 1.4559404830697091]
[0.0010525024806684216, 0.2996962296910396]
[3.608224830031759E-16, 1.0484300526720212]
[0.0010525024805846013, 1.4559404830697091]
[3.608224830031759E-16, 0.3618760614274127]
[-8.345970272672802E-14, 0.10158235926461401]
[2.308672758899098E-13, 0.8117843771297665]
[0.002105004961085021, 1.166030054273456]
