(233.16226147802638, 248.92852199893417)
(143.98287386136678, 188.4061903447932)
(388.7643796345047, 438.3252520927537)
(7.699777549567726, 6.171650267591444)
(529.9720104659319, 471.5282174197249)
(249.32296617214337, 294.0178541464161)
(396.07637863625604, 407.68687821232226)
(297.18420148809247, 316.7967564698225)
(288.9201636611664, 261.9201445445887)
(358.08588817969894, 412.73288138809755)
(287.77467091148293, 224.3024308518269)
(98.60628041433979, 138.83855463021058)
(493.4462338032597, 555.9315743209289)
(651.9912841952648, 731.3870279002988)
(164.02172051487096, 219.24921332877378)
(272.4369304343714, 215.43014258071528)
(41.74646687857118, 70.46148898430351)
(151.18429323124712, 121.058743996236)
(207.92183819553838, 167.89545271984412)
(113.72639641502403, 75.07543844242186)
