(305.8447451803643, 313.64902433026424, 349.01750265597957)
(333.4010677951727, 360.29233227488027, 386.98076647922966)
(69.25542773818232, 60.97402236723354, 84.14456852833868)
(625.551228730428, 585.8614925719976, 562.0310756290386)
(432.88308668637967, 376.0414192440932, 404.9049095040575)
(287.29450466377284, 293.8075468990975, 332.85298409621197)
(886.8846827841433, 823.941836397554, 817.6561489081435)
(401.4486513445431, 360.8390049714857, 383.60183293005826)
(127.336598734271, 140.55702443318077, 109.60745886813905)
(286.89360305423224, 285.73560363035403, 245.9167407127818)
(700.0517590388877, 677.8837147247286, 703.3154111804105)
(594.0400285105527, 630.5356431703258, 664.4451869081297)
(869.6052520005076, 881.666594643814, 946.6673908750493)
(751.7187705989346, 749.2015290304697, 742.5772399958007)
(510.4955401409984, 458.433660042542, 458.284112378653)
(304.71994846851015, 278.3916197560521, 302.2119936531228)
(208.0724397448429, 215.83240282245086, 244.4407557109509)
(698.4355034364996, 764.483946904315, 700.356731181962)
(398.3814305904796, 380.636225009365, 432.854088779984)
(639.3829125241245, 635.6528703637705, 653.576847737454)
